team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Madrid Real Madrid,2011,736420,1,736420.0,736420,736420
Madrid Real Madrid,2012,736420,1,736420.0,736420,736420
Madrid Real Madrid,2013,8830443,2,4415221.5,2180443,6650000
Madrid Real Madrid,2015,1825359,1,1825359.0,1825359,1825359
Memphis Grizzlies,2002,39733000,15,2648866.6666666665,332000,5695000
Memphis Grizzlies,2003,36122000,9,4013555.5555555555,2368000,7000000
Memphis Grizzlies,2004,38224000,9,4247111.111111111,1580000,7700000
Memphis Grizzlies,2005,27506000,6,4584333.333333333,2322000,7150000
Memphis Grizzlies,2006,68967633,15,4597842.2,398762,14666250
Memphis Grizzlies,2007,50094319,18,2783017.722222222,55839,12364000
Memphis Grizzlies,2008,76069935,21,3622377.8571428573,24263,13735000
Memphis Grizzlies,2009,43904982,16,2744061.375,450399,7020000
Memphis Grizzlies,2010,53718475,20,2685923.75,2692,16000000
Memphis Grizzlies,2011,75099987,22,3413635.772727273,201033,17666666
Memphis Grizzlies,2012,77044156,22,3502007.090909091,48232,15200000
Memphis Grizzlies,2013,99102304,30,3303410.1333333333,55718,16500000
Memphis Grizzlies,2014,74496910,16,4656056.875,490180,18238333
Memphis Grizzlies,2015,86504216,20,4325210.8,53838,16500000
Memphis Grizzlies,2016,94825502,22,4310250.090909091,55722,19688000
Memphis Grizzlies,2017,113616902,22,5164404.636363637,76725,26540100
Memphis Grizzlies,2018,110613726,26,4254374.076923077,60283,28530608
Memphis Grizzlies,2019,167050134,24,6960422.25,59820,30521115
Memphis Grizzlies,2020,123658145,21,5888483.095238095,183115,16229213
Miami Heat,2000,26456000,4,6614000.0,728000,15004000
Miami Heat,2001,70462000,14,5033000.0,316000,16879000
Miami Heat,2002,51760000,15,3450666.6666666665,237000,18756000
Miami Heat,2003,29914000,5,5982800.0,637000,11200000
Miami Heat,2004,32171000,4,8042750.0,2925000,12320000
Miami Heat,2005,52055000,4,13013750.0,3073000,29464000
Miami Heat,2006,59512936,16,3719558.5,398762,20000000
Miami Heat,2007,62755821,15,4183721.4,412718,20000000
Miami Heat,2008,53716806,18,2984267.0,36395,13041250
Miami Heat,2009,48527130,14,3466223.5714285714,700000,14410581
Miami Heat,2010,79987798,15,5332519.866666666,29135,23016000
Miami Heat,2011,80118940,20,4005947.0,196007,14500000
Miami Heat,2012,90746493,21,4321261.571428572,137498,17545000
Miami Heat,2013,103799977,25,4151999.08,61467,19067500
Miami Heat,2014,83359557,14,5954254.071428572,884293,19067500
Miami Heat,2015,72166602,18,4009255.6666666665,29843,20644400
Miami Heat,2016,85249626,16,5328101.625,525093,22192730
Miami Heat,2017,98056960,18,5447608.888888889,115344,23741060
Miami Heat,2018,123120620,14,8794330.0,543471,25434262
Miami Heat,2019,124378576,19,6546240.842105263,4737,25434262
Miami Heat,2020,140371562,19,7387976.947368421,375385,32742000
Milwaukee Bucks,2000,30736000,8,3842000.0,301000,9000000
Milwaukee Bucks,2001,49659000,14,3547071.4285714286,316000,10125000
Milwaukee Bucks,2002,57981000,14,4141500.0,465000,11250000
Milwaukee Bucks,2003,39434000,7,5633428.571428572,1862000,10750000
Milwaukee Bucks,2004,17766000,4,4441500.0,1898000,8050000
Milwaukee Bucks,2005,33881000,5,6776200.0,2680000,14487000
Milwaukee Bucks,2006,56029759,15,3735317.2666666666,398762,12000000
Milwaukee Bucks,2007,57611028,18,3200612.6666666665,302200,13260000
Milwaukee Bucks,2008,63088469,16,3943029.3125,427163,14520000
Milwaukee Bucks,2009,66216660,14,4729761.428571428,46917,15780000
Milwaukee Bucks,2010,68135191,15,4542346.066666666,422460,17040000
Milwaukee Bucks,2011,71141373,18,3952298.5,457588,18300000
Milwaukee Bucks,2012,69516077,20,3475803.85,457588,12000000
Milwaukee Bucks,2013,57496065,18,3194225.8333333335,457588,11000000
Milwaukee Bucks,2014,37912949,12,3159412.4166666665,9281,8000000
Milwaukee Bucks,2015,53112885,15,3540859.0,414551,11000000
Milwaukee Bucks,2016,72148308,18,4008239.3333333335,845059,16407500
Milwaukee Bucks,2017,91167498,22,4143977.1818181816,15435,17145838
Milwaukee Bucks,2018,92779886,20,4638994.3,588120,24157303
Milwaukee Bucks,2019,143470804,20,7173540.2,196553,24157303
Milwaukee Bucks,2020,140613931,20,7030696.55,1378242,30603448
Minnesota Timberwolves,2000,33478000,7,4782571.428571428,1050000,16806000
Minnesota Timberwolves,2001,44793000,11,4072090.909090909,1123000,19600000
Minnesota Timberwolves,2002,55955000,15,3730333.3333333335,332000,22400000
Minnesota Timberwolves,2003,42355000,6,7059166.666666667,2436000,25200000
Minnesota Timberwolves,2004,49823000,6,8303833.333333333,587000,28000000
Minnesota Timberwolves,2005,19774000,3,6591333.333333333,2212000,14625000
Minnesota Timberwolves,2006,72341361,18,4018964.5,398762,18000000
Minnesota Timberwolves,2007,67708876,15,4513925.066666666,412718,21000000
Minnesota Timberwolves,2008,44522430,19,2343285.789473684,199452,8329640
Minnesota Timberwolves,2009,64617117,15,4307807.8,797581,11000000
Minnesota Timberwolves,2010,45643809,16,2852738.0625,111685,12000000
Minnesota Timberwolves,2011,49858629,17,2932860.529411765,854389,4962240
Minnesota Timberwolves,2012,78695152,21,3747388.1904761903,35868,15032144
Minnesota Timberwolves,2013,71640818,25,2865632.72,35868,13668750
Minnesota Timberwolves,2014,62219204,13,4786092.615384615,490180,14693906
Minnesota Timberwolves,2015,58264693,18,3236927.388888889,283367,12100000
Minnesota Timberwolves,2016,60656973,14,4332640.928571428,947276,12700000
Minnesota Timberwolves,2017,86372434,19,4545917.578947368,980431,13550000
Minnesota Timberwolves,2018,130433306,21,6211109.80952381,290951,19301070
Minnesota Timberwolves,2019,103380780,13,7952367.692307692,108953,25467250
Minnesota Timberwolves,2020,174907550,19,9205660.52631579,898310,27504630
"NO/Oklahoma City
 Hornets",2006,30886563,11,2807869.3636363638,398762,8000000
